,Date,Hour,Price,load,placeholder2,Day
0,20130101,1,31.05,42497.0,2798.0,2
1,20130101,2,30.47,41463.0,2417.0,2
2,20130101,3,28.92,40812.0,2036.0,2
3,20130101,4,27.88,40246.0,1706.0,2
4,20130101,5,26.96,40088.0,1427.0,2
5,20130101,6,27.84,40360.0,1183.0,2
6,20130101,7,28.79,41027.0,1012.0,2
7,20130101,8,28.63,41976.0,908.0,2
8,20130101,9,28.44,42705.0,848.0,2
9,20130101,10,28.3,43503.0,819.0,2
10,20130101,11,30.65,44766.0,816.0,2
11,20130101,12,31.55,45691.0,830.0,2
12,20130101,13,32.16,46085.0,835.0,2
13,20130101,14,32.45,46306.0,821.0,2
14,20130101,15,32.63,46918.0,822.0,2
15,20130101,16,33.65,48161.0,843.0,2
16,20130101,17,34.9,49542.0,881.0,2
17,20130101,18,36.22,50210.0,968.0,2
18,20130101,19,36.65,49909.0,1102.0,2
19,20130101,20,36.37,49107.0,1233.0,2
20,20130101,21,35.49,48101.0,1332.0,2
21,20130101,22,34.41,47445.0,1342.0,2
22,20130101,23,34.66,45680.0,1327.0,2
23,20130101,0,32.55,44099.0,1352.0,2
24,20130102,1,33.15,42602.0,1350.0,3
25,20130102,2,32.66,41720.0,1314.0,3
26,20130102,3,31.83,41519.0,1339.0,3
27,20130102,4,31.47,41672.0,1352.0,3
28,20130102,5,32.56,42621.0,1347.0,3
29,20130102,6,34.36,44805.0,1407.0,3
30,20130102,7,36.28,48444.0,1464.0,3
31,20130102,8,38.39,52178.0,1498.0,3
32,20130102,9,39.09,53740.0,1576.0,3
33,20130102,10,38.33,53976.0,1683.0,3
34,20130102,11,38.42,54480.0,1815.0,3
35,20130102,12,38.25,54787.0,1925.0,3
36,20130102,13,37.96,54592.0,1979.0,3
37,20130102,14,37.89,54511.0,2005.0,3
38,20130102,15,37.88,54848.0,2007.0,3
39,20130102,16,38.78,55705.0,1966.0,3
40,20130102,17,39.83,56651.0,1891.0,3
41,20130102,18,39.91,56935.0,1821.0,3
42,20130102,19,39.32,55997.0,1774.0,3
43,20130102,20,38.49,54835.0,1734.0,3
44,20130102,21,37.46,53220.0,1716.0,3
45,20130102,22,36.94,51962.0,1723.0,3
46,20130102,23,36.37,49776.0,1781.0,3
47,20130102,0,34.59,47125.0,1918.0,3
48,20130103,1,33.11,45029.0,2209.0,4
49,20130103,2,32.22,44023.0,2349.0,4
50,20130103,3,31.46,43600.0,2530.0,4
51,20130103,4,31.67,43677.0,2732.0,4
52,20130103,5,32.05,44377.0,2867.0,4
53,20130103,6,33.67,46427.0,2973.0,4
54,20130103,7,34.93,50150.0,3113.0,4
55,20130103,8,35.82,54148.0,3216.0,4
56,20130103,9,36.38,55882.0,3286.0,4
57,20130103,10,36.52,56040.0,3402.0,4
58,20130103,11,36.71,56216.0,3549.0,4
59,20130103,12,36.6,56110.0,3648.0,4
60,20130103,13,36.51,55576.0,3677.0,4
61,20130103,14,36.4,55411.0,3680.0,4
62,20130103,15,36.42,55768.0,3686.0,4
63,20130103,16,36.58,56413.0,3679.0,4
64,20130103,17,36.94,57285.0,3644.0,4
65,20130103,18,36.94,57558.0,3553.0,4
66,20130103,19,36.81,56793.0,3440.0,4
67,20130103,20,36.43,55578.0,3312.0,4
68,20130103,21,35.91,53745.0,3203.0,4
69,20130103,22,35.45,52308.0,3111.0,4
70,20130103,23,34.77,49951.0,3043.0,4
71,20130103,0,32.09,47288.0,2977.0,4
72,20130104,1,31.71,44859.0,2956.0,5
73,20130104,2,30.86,43868.0,2832.0,5
74,20130104,3,30.21,43473.0,2757.0,5
75,20130104,4,30.36,43557.0,2686.0,5
76,20130104,5,30.89,44292.0,2554.0,5
77,20130104,6,32.21,46354.0,2368.0,5
78,20130104,7,34.33,49917.0,2212.0,5
79,20130104,8,35.98,53990.0,2119.0,5
80,20130104,9,36.72,55748.0,2114.0,5
81,20130104,10,36.68,55766.0,2206.0,5
82,20130104,11,36.8,56039.0,2396.0,5
83,20130104,12,36.64,55875.0,2641.0,5
84,20130104,13,36.44,55427.0,2828.0,5
85,20130104,14,36.31,55218.0,2924.0,5
86,20130104,15,35.83,55541.0,2976.0,5
87,20130104,16,36.12,56355.0,2973.0,5
88,20130104,17,36.8,57165.0,2915.0,5
89,20130104,18,37.29,57337.0,2832.0,5
90,20130104,19,37.15,56567.0,2733.0,5
91,20130104,20,36.47,55246.0,2597.0,5
92,20130104,21,36.03,53340.0,2422.0,5
93,20130104,22,35.43,51900.0,2213.0,5
94,20130104,23,35.17,49813.0,2007.0,5
95,20130104,0,32.95,47370.0,1808.0,5
96,20130105,1,33.69,44975.0,1612.0,6
97,20130105,2,32.71,43955.0,1274.0,6
98,20130105,3,32.09,43482.0,992.0,6
99,20130105,4,32.17,43213.0,763.0,6
100,20130105,5,32.73,43443.0,597.0,6
101,20130105,6,33.77,44042.0,460.0,6
102,20130105,7,34.03,45160.0,354.0,6
103,20130105,8,33.98,47109.0,284.0,6
104,20130105,9,34.45,48944.0,245.0,6
105,20130105,10,36.12,50445.0,227.0,6
106,20130105,11,36.69,51662.0,216.0,6
107,20130105,12,36.74,51849.0,206.0,6
108,20130105,13,36.52,51614.0,194.0,6
109,20130105,14,36.12,51186.0,196.0,6
110,20130105,15,36.14,51497.0,204.0,6
111,20130105,16,36.78,52648.0,221.0,6
112,20130105,17,37.71,54211.0,247.0,6
113,20130105,18,38.37,54731.0,294.0,6
114,20130105,19,37.99,54014.0,358.0,6
115,20130105,20,36.94,52452.0,437.0,6
116,20130105,21,36.24,50729.0,537.0,6
117,20130105,22,35.89,49577.0,638.0,6
118,20130105,23,35.7,48007.0,709.0,6
119,20130105,0,35.44,46375.0,793.0,6
120,20130106,1,34.87,46150.0,558.0,7
121,20130106,2,33.05,44946.0,666.0,7
122,20130106,3,32.25,44345.0,736.0,7
123,20130106,4,32.41,44067.0,737.0,7
124,20130106,5,32.45,44134.0,721.0,7
125,20130106,6,32.8,44641.0,771.0,7
126,20130106,7,33.27,45736.0,881.0,7
127,20130106,8,32.97,47134.0,990.0,7
128,20130106,9,33.65,48601.0,1088.0,7
129,20130106,10,34.25,49839.0,1159.0,7
130,20130106,11,35.01,51058.0,1249.0,7
131,20130106,12,35.94,51738.0,1341.0,7
132,20130106,13,35.79,51743.0,1356.0,7
133,20130106,14,35.02,51714.0,1296.0,7
134,20130106,15,34.85,51959.0,1219.0,7
135,20130106,16,35.18,53239.0,1125.0,7
136,20130106,17,35.9,54580.0,983.0,7
137,20130106,18,37.09,55054.0,817.0,7
138,20130106,19,37.65,54611.0,616.0,7
139,20130106,20,37.39,53503.0,432.0,7
140,20130106,21,36.99,52220.0,318.0,7
141,20130106,22,36.1,51122.0,251.0,7
142,20130106,23,36.0,49213.0,195.0,7
143,20130106,0,34.93,47156.0,157.0,7
144,20130107,1,34.97,46057.0,113.0,1
145,20130107,2,33.71,45168.0,83.0,1
146,20130107,3,33.13,44715.0,75.0,1
147,20130107,4,33.23,44840.0,78.0,1
148,20130107,5,34.1,45736.0,91.0,1
149,20130107,6,35.68,48206.0,105.0,1
150,20130107,7,38.51,52410.0,114.0,1
151,20130107,8,40.66,56801.0,125.0,1
152,20130107,9,42.48,58004.0,143.0,1
153,20130107,10,42.08,57798.0,175.0,1
154,20130107,11,41.97,57959.0,214.0,1
155,20130107,12,41.37,57892.0,251.0,1
156,20130107,13,40.3,57433.0,265.0,1
157,20130107,14,39.96,57153.0,277.0,1
158,20130107,15,40.17,57264.0,291.0,1
159,20130107,16,41.6,58066.0,321.0,1
160,20130107,17,42.37,58814.0,360.0,1
161,20130107,18,41.93,58890.0,394.0,1
162,20130107,19,39.97,57726.0,425.0,1
163,20130107,20,38.9,56264.0,461.0,1
164,20130107,21,37.92,54454.0,480.0,1
165,20130107,22,37.47,52814.0,469.0,1
166,20130107,23,36.49,50312.0,453.0,1
167,20130107,0,35.55,47645.0,437.0,1
168,20130108,1,35.44,45947.0,541.0,2
169,20130108,2,35.01,44792.0,530.0,2
170,20130108,3,34.83,44296.0,524.0,2
171,20130108,4,34.84,44215.0,511.0,2
172,20130108,5,35.21,44864.0,479.0,2
173,20130108,6,36.35,47149.0,459.0,2
174,20130108,7,39.04,51134.0,451.0,2
175,20130108,8,42.55,55286.0,442.0,2
176,20130108,9,44.35,56290.0,435.0,2
177,20130108,10,43.58,56111.0,429.0,2
178,20130108,11,43.15,56339.0,419.0,2
179,20130108,12,42.43,56264.0,412.0,2
180,20130108,13,41.92,55810.0,383.0,2
