date;hour;comed price;rto load forecast;comed load foecast;day
20110102;0;17.141179;68590;11432;1
20110102;1;14.179616;65896;10862;1
20110102;2;12.736793;64511;10486;1
20110102;3;11.096262;63935;10318;1
20110102;4;10.690926;64321;10208;1
20110102;5;11.611351;65539;10212;1
20110102;6;11.897034;67827;10236;1
20110102;7;22.768068;70959;10350;1
20110102;8;24.571483;74338;10472;1
20110102;9;26.437882;77075;10799;1
20110102;10;27.063112;78317;11091;1
20110102;11;27.049909;78702;11239;1
20110102;12;26.828473;78665;11319;1
20110102;13;26.249544;78260;11301;1
20110102;14;25.708512;77911;11294;1
20110102;15;26.208293;78692;11348;1
20110102;16;28.629978;82674;11667;1
20110102;17;48.38577;91240;12844;1
20110102;18;51.389987;92775;13838;1
20110102;19;48.940223;92064;13661;1
20110102;20;46.630341;91272;13378;1
20110102;21;38.973271;89155;13176;1
20110102;22;29.353695;85437;12909;1
20110102;23;26.268354;80848;12256;1
20110103;0;24.618855;76861;11489;2
20110103;1;21.946008;75169;10964;2
20110103;2;19.773787;74676;10651;2
20110103;3;19.417523;75207;10502;2
20110103;4;19.994943;77446;10475;2
20110103;5;22.091014;82330;10691;2
20110103;6;31.067247;89786;11138;2
20110103;7;39.67416;94653;11868;2
20110103;8;36.403177;95204;12362;2
20110103;9;39.301101;94668;12660;2
20110103;10;38.698948;93633;12827;2
20110103;11;35.685601;92020;12905;2
20110103;12;31.470818;90173;12811;2
20110103;13;31.466387;88811;12710;2
20110103;14;31.254976;87560;12639;2
20110103;15;31.272001;87689;12607;2
20110103;16;32.411403;91276;12735;2
20110103;17;52.645358;99662;13562;2
20110103;18;55.032275;101600;14241;2
20110103;19;49.03148;100632;14065;2
20110103;20;50.106976;99555;13783;2
20110103;21;39.316541;97038;13647;2
20110103;22;30.55237;92344;13324;2
20110103;23;29.135678;86597;12521;2
20110104;0;20.917724;80237;11622;3
20110104;1;16.91636;78064;11003;3
20110104;2;14.977569;77176;10633;3
20110104;3;14.67114;77300;10419;3
20110104;4;15.573112;78964;10360;3
20110104;5;17.553113;83205;10590;3
20110104;6;29.380003;89802;11132;3
20110104;7;51.305728;93897;12036;3
20110104;8;40.068821;93956;12576;3
20110104;9;37.442566;92855;12780;3
20110104;10;35.82002;91723;12879;3
20110104;11;33.490938;90306;12911;3
20110104;12;31.887982;88666;12882;3
20110104;13;31.761222;87514;12776;3
20110104;14;31.125273;86491;12768;3
20110104;15;30.980974;86639;12727;3
20110104;16;31.681274;90139;12838;3
20110104;17;44.972196;98537;13623;3
20110104;18;46.632509;100152;14294;3
20110104;19;44.072064;99054;14215;3
20110104;20;44.584509;98149;14086;3
20110104;21;38.888248;95942;13966;3
20110104;22;31.097325;91327;13589;3
20110104;23;27.665262;85753;12747;3
20110105;0;28.2537;78953;11882;4
20110105;1;23.579533;76831;11245;4
20110105;2;19.771504;75988;10845;4
20110105;3;19.800334;76287;10659;4
